title,album,year,artist,genre,text,url,hero
Swapnavevedo,Ravoyi Chandamama,2000,Mani SharmaK. S. ChithraS.P. Balasubrahmanyam,Hip-hop,swapnavevedo ravoyi chandamama mani sharmak . s. chithras.p . balasubrahmanyam,https://www.jiosaavn.com/song/swapnavevedo/FAA0ZydFQQo,Nagarjuna
Saranga Dariya,Love Story,2020,Mangli,Pop,saranga dariya love stori mangli,https://www.jiosaavn.com/song/saranga-dariya/KgJSWE1BaH8,Naga Chaitanya
Ye Mera Jaha,Kushi,2001,Mani SharmaKK,Pop,ye mera jaha kushi mani sharmakk,https://www.jiosaavn.com/song/ye-mera-jaha/AVszdg50aB4,Pawan Kalyan
Shivaratri Song 2020,Shivaratri Song 2020,2021,Mangli,Classical,shivaratri song 2020 shivaratri song 2020 mangli,https://www.jiosaavn.com/song/shivaratri-song-2020/Ci4kYBJvcUk,Not applicable
Nuvvu Nuvvu,Khadgam,2002,Devi Sri PrasadSumangali,Hip-hop,nuvvu nuvvu khadgam devi sri prasadsumangali,https://www.jiosaavn.com/song/nuvvu-nuvvu/BCBcHCNof1c,"Srikanth, Prakash Raj, and Ravi Teja"
Nannaku,Nannaku Prematho,2015,SagarDevi Sri Prasad,Electronic,nannaku nannaku prematho sagardevi sri prasad,https://www.jiosaavn.com/song/nannaku/HyIvZDhjYl8,Jr. NTR
Maguva Maguva - Male,Vakeel Saab,2020,Sid Sriram,Blues,maguva maguva - male vakeel saab sid sriram,https://www.jiosaavn.com/song/maguva-maguva-male/QTsNf0BUZAI,Pawan Kalyan
Emannavoo,Nava Manmadhudu,2015,Anirudh RavichanderShweta Mohan,Pop,emannavoo nava manmadhudu anirudh ravichandershweta mohan,https://www.jiosaavn.com/song/emannavoo/Pz0ECEFWY2k,Dhanush
Feel My Love,Aarya,2004,KK,Blues,feel my love aarya kk,https://www.jiosaavn.com/song/feel-my-love/GAsqREUDAVc,Allu Arjun
Jiya Jile,Loafer,2015,Yazin NizarPranaviSunil Kashyap,Classical,jiya jile loafer yazin nizarpranavisunil kashyap,https://www.jiosaavn.com/song/jiya-jile/O15GdjdccAI,Varun Tej
Kannula Logililo,Raja,2000,S.A. Raj KumarK. S. ChithraUnni Krishnan,Hip-hop,kannula logililo raja s.a. raj kumark . s. chithraunni krishnan,https://www.jiosaavn.com/song/kannula-logililo/Eyo9Ak1Wc0Q,Venkatesh
Run Run,Iddarammayilatho,2013,Devi Sri PrasadApache IndianSharmila,Country,run run iddarammayilatho devi sri prasadapach indiansharmila,https://www.jiosaavn.com/song/run-run/QDc7ax9Zb3I,Allu Arjun
Endhuko Pichi Pichi,Chirutha,2007,Mani SharmaN.C. Karunya,Country,endhuko pichi pichi chirutha mani sharman.c . karunya,https://www.jiosaavn.com/song/endhuko-pichi-pichi/JiM8Qix0ckc,Ram Charan
Yedurangula Vaana - Male,18 Pages,2022,Sid Sriram,Hip-hop,yedurangula vaana - male 18 page sid sriram,https://www.jiosaavn.com/song/yedurangula-vaana-male/FzoFRxhVWgc,Nikhil Siddhartha
Love Me Again,Nannaku Prematho,2015,Sooraj SanthoshDevi Sri Prasad,Classical,love me again nannaku prematho sooraj santhoshdevi sri prasad,https://www.jiosaavn.com/song/love-me-again/FQQgQABlBGs,Akhil Akkineni
Yamaho Yama,Chirutha,2007,Mani SharmaTippu,Jazz,yamaho yama chirutha mani sharmatippu,https://www.jiosaavn.com/song/yamaho-yama/BCY5bitGD2M,Prabhas
Koppamga Koppamga (From &quot;Mr. Majnu&quot;),Mr. Majnu,2019,Thaman SArmaan Malik,Blues,koppamga koppamga ( from & quot ; mr. majnu & quot ; ) mr. majnu thaman sarmaan malik,https://www.jiosaavn.com/song/koppamga-koppamga-from-mr.-majnu/MhIMbh9eAkA,Chiranjeevi
Sooreede (From &quot;Salaar Cease Fire - Telugu&quot;),Salaar Cease Fire - Telugu,2024,Krishna KanthRavi BasrurHarini Ivaturi,Pop,sooreed ( from & quot ; salaar ceas fire - telugu & quot ; ) salaar ceas fire - telugu krishna kanthravi basrurharini ivaturi,https://www.jiosaavn.com/song/sooreede-from-salaar-cease-fire-telugu/KDlaZh1CfEY,Pradeep Ranganathan
Manava Manava,Anji,2000,Mani SharmaSunithaTippu,Country,manava manava anji mani sharmasunithatippu,https://www.jiosaavn.com/song/manava-manava/HCodZERbdgA,Allu Arjun
Pranam Pothunna,Love Today (Telugu) (Original Motion Picture Soundtrack),2022,Yuvanshankar Raja,Electronic,pranam pothunna love today ( telugu ) ( origin motion pictur soundtrack ) yuvanshankar raja,https://www.jiosaavn.com/song/pranam-pothunna/GTkKVCFRAF4,Chiranjeevi
Seeti Maar,DJ,2017,Jaspreet JaszRita Thyagarajan,Blues,seeti maar dj jaspreet jaszrita thyagarajan,https://www.jiosaavn.com/song/seeti-maar/GBgbUjJFe10,Rajinikanth
Chaila Chaila,Shankar Dada M.B.B.S.,2000,Devi Sri PrasadKKChiranjeevi,Jazz,chaila chaila shankar dada m.b.b. . devi sri prasadkkchiranjeevi,https://www.jiosaavn.com/song/chaila-chaila/QEU8cEJ-DlA,Varun Tej
Sundari Neeve,Dalapathi,1992,IlaiyaraajaS.P. BalasubrahmanyamK. S. Chithra,Electronic,sundari neev dalapathi ilaiyaraajas.p . balasubrahmanyamk . s. chithra,https://www.jiosaavn.com/song/sundari-neeve/FzFdezNxdXk,Aberaam Varma
Oosupodu,Fidaa,2017,Vedala Hemachandra,Pop,oosupodu fidaa vedala hemachandra,https://www.jiosaavn.com/song/oosupodu/NiUPdQ1pWmc,Siddharth
Emo Emo,Raahu,2020,Sid Sriram,Electronic,emo emo raahu sid sriram,https://www.jiosaavn.com/song/emo-emo/GzEgABcIc1U,Kamal Haasan
Follow Follow,Nannaku Prematho,2015,Jr. NtrDevi Sri Prasad,Hip-hop,follow follow nannaku prematho jr. ntrdevi sri prasad,https://www.jiosaavn.com/song/follow-follow/JUUSXkR4blI,Raghava Lawrence
Hoyna,Aata,2007,Devi Sri PrasadK. S. ChithraKarthik,Hip-hop,hoyna aata devi sri prasadk . s. chithrakarthik,https://www.jiosaavn.com/song/hoyna/KV4zZj8FY0Y,Vikram
Rayini Maatram,Dhasavathaaram (Telugu),2008,HariharanHimesh Reshammiya,Blues,rayini maatram dhasavathaaram ( telugu ) hariharanhimesh reshammiya,https://www.jiosaavn.com/song/rayini-maatram/Izs-XAdgWlU,Venkatesh
Reppakelaa Vodhaarpu,Ganga,2015,Shakthisree GopalanLeon James,Blues,reppakelaa vodhaarpu ganga shakthisre gopalanleon jame,https://www.jiosaavn.com/song/reppakelaa-vodhaarpu/XR8FeQIIB2U,Pawan Kalyan
Poolane Kunukeyamantaa,I - Manoharudu (Original Motion Picture Soundtrack),2014,A.R. RahmanHaricharanShreya Ghoshal,Rock,poolan kunukeyamantaa i - manoharudu ( origin motion pictur soundtrack ) a.r . rahmanharicharanshreya ghoshal,https://www.jiosaavn.com/song/poolane-kunukeyamantaa/GxwESR5aRGI,Nagarjuna
Ennenno Andaalu,Chanti (Old),1992,S. P. BalasubrahmanyamK. S. Chithra,Classical,ennenno andaalu chanti ( old ) s. p. balasubrahmanyamk . s. chithra,https://www.jiosaavn.com/song/ennenno-andaalu/FVwOdUB1UVo,Sumanth
Gallo Thelina,Jalsa,2008,TippuGopika Poornima,Country,gallo thelina jalsa tippugopika poornima,https://www.jiosaavn.com/song/gallo-thelina/KiojARJWR0Y,Naga Shaurya
Vinaro Bhagyamu,Annamayya,1997,Annamayya KeerthanaS.P. BalasubrahmanyamSrilekha Keeravani AnuradhaAnandGangadharRenuka PurnachandharSujatha MohanAnand Bhattacharya,Classical,vinaro bhagyamu annamayya annamayya keerthanas.p . balasubrahmanyamsrilekha keeravani anuradhaanandgangadharrenuka purnachandharsujatha mohananand bhattacharya,https://www.jiosaavn.com/song/vinaro-bhagyamu/MTITZB5lY1g,Chiranjeevi
Vennelave Vennelave,Merupu Kalalu,1997,HariharanSadhana Sargam,Classical,vennelav vennelav merupu kalalu hariharansadhana sargam,https://www.jiosaavn.com/song/vennelave-vennelave/PDERZyV2ZFQ,Haranath
Kola Kalle Ilaa,Varudu Kaavalenu,2021,Sid Sriram,Hip-hop,kola kall ilaa varudu kaavalenu sid sriram,https://www.jiosaavn.com/song/kola-kalle-ilaa/JCYgdBlTfmw,Venkatesh
Go Go Goa,Stalin,2006,Mani SharmaRanjithMaha Lakshmi,Hip-hop,go go goa stalin mani sharmaranjithmaha lakshmi,https://www.jiosaavn.com/song/go-go-goa/RywJXzhJeEo,Kamal Haasan
Jabilli Kosam (Male),Manchi Manasulu,2000,S.P. Balasubrahmanyam,Hip-hop,jabilli kosam ( male ) manchi manasulu s.p . balasubrahmanyam,https://www.jiosaavn.com/song/jabilli-kosam-male/QQYPbjhhfAc,Nagarjuna
